id,Name,Minimum GPA,Maximum Age,link,Majors,Description
12,VLIR-UOS Scholarship (Belgium),2.8,40,https://www.vliruos.be/,Health & Medicine,"The VLIR-UOS ICP Connect scholarship funds students from 29 eligible developing countries to pursue English-taught Bachelor's, Initial Master's, and Advanced Master's degrees at Flemish universities in Belgium. Focused on global sustainable development, the scholarship covers full tuition fees, travel expenses, comprehensive insurance, and a monthly living allowance. It is designed to support future change agents who will return to their home regions to contribute to development. The selection process is highly competitive, prioritizing academic potential, professional motivation, and regional diversity. Applicants must not have previously studied in a high-income country."
13,"DAAD Study Scholarships in Fine Art, Design & Film (Germany)",3.0,24,https://www.daad.de/en/,Arts & Humanities,"The DAAD Study Scholarships offer fully funded opportunities for international graduates with a bachelor's degree in Fine Art, Design, Visual Communication, and Film to continue their education at a state-recognized German university. It supports master's or postgraduate degree programs (up to 24 months) or complementary courses without a degree (one academic year). The scholarship provides a monthly allowance of 992 euros, travel allowance, health insurance, and a one-off study allowance. Applicants must submit a portfolio of their artistic work, which is evaluated by a special DAAD committee for artistic qualification and maturity."
14,NYU Hauser Global Law Scholar Program (USA),3.7,24,https://www.law.nyu.edu/,Law,"The Hauser Global Scholarship is a prestigious initiative at NYU School of Law that awards full-tuition scholarships and living stipends to 10 outstanding international students pursuing an LLM degree. Selected by a distinguished committee, Hauser Global Scholars are chosen for their exceptional intellectual and leadership abilities and their capacity to contribute to a global community of legal practitioners. The program aims to integrate diverse legal perspectives into the academic community. Scholars participate in specialized seminars and events, gaining unparalleled exposure to international law and fostering cross-cultural legal understanding."
15,Aga Khan Foundation International Scholarship,3.5,30,https://akf.org/international-scholarship-programme/,Education,"The Aga Khan Foundation International Scholarship Programme (AKF ISP) supports outstanding students from select developing countries to pursue postgraduate studies, primarily Master's degrees, at reputable institutions worldwide. It targets individuals under 30 with excellent academic records, leadership potential, and genuine financial need who have no other means of financing their education. Unique in its structure, the award is provided as a 50% grant and a 50% loan, which must be repaid after graduation to fund future scholars. The scholarship covers tuition and living expenses but does not cover travel costs."
16,WHO TDR Scholarship ,3.0,35,https://tdr.who.int/,Health & Medicine,"The WHO TDR Postgraduate Scholarship in Implementation Research provides full funding for students from low- and middle-income countries to pursue Master's degrees focused on implementation research in infectious diseases of poverty. Supported by the Special Programme for Research and Training in Tropical Diseases (TDR), the scholarship covers tuition, a monthly stipend, accommodation, and travel. It aims to build research capacity in developing nations by training future public health leaders. Fellows study at partner universities in their home regions and are expected to return to their communities to drive progress in disease control and public health."
17,Rotary Peace Fellowship,3.0,24,https://www.rotary.org/en/our-programs/peace-fellowships,Arts & Humanities,"The Rotary Peace Fellowship is a fully funded, world-class program for emerging leaders committed to peacebuilding and conflict resolution. Each year, Rotary awards up to 100 fellowships for dedicated professionals to pursue either a master's degree or a professional development certificate at one of the Rotary Peace Centers around the world. The fellowship covers tuition, fees, room and board, round-trip transportation, and internship expenses. Fellows engage in rigorous academic training and field experiences, preparing them for impactful careers in national governments, NGOs, international organizations, and law enforcement."
18,Melbourne Law School International Scholarships (Australia),3.7,24,https://law.unimelb.edu.au/study/scholarships,Law,"Melbourne Law School offers a range of scholarships to support and recognize outstanding international students undertaking graduate degrees, including the Juris Doctor and Melbourne Law Masters. These scholarships, such as the Law International Students Scholarship and the Melbourne International Fee Remission Scholarship, provide financial assistance that can range from partial fee remissions to one-off payments based on academic merit or financial need. By easing the financial burden, these awards enable talented students from around the world to access world-class legal education and contribute diverse perspectives to the Australian and international legal context."
19,Commonwealth Scholarships (UK),3.0,24,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,Education,"Commonwealth Scholarships are prestigious awards funded by the UK government, aimed at talented individuals from across the Commonwealth who possess the potential to make a positive impact on the global stage. Managed by the Commonwealth Scholarship Commission (CSC), the scheme offers fully funded opportunities for postgraduate study (Master's and PhD) at UK universities. Designed for students who could not otherwise afford to study in the UK, the scholarships cover tuition, living expenses, and travel. The program focuses on supporting future innovators and leaders to contribute to sustainable development in their home countries."
20,Van Calker Scholarship in International Law (Switzerland),3,24,https://www.isdc.ch/en/,Law,"The Van Calker Scholarship, awarded by the Swiss Institute of Comparative Law (SICL), allows Swiss and foreign researchers to conduct academic projects in comparative, foreign, and international law in Lausanne. The scholarship provides a monthly stipend of 1,500 Swiss Francs and covers accommodation organized by the Institute for a stay of generally 2 to 3 months (up to 6 months). Open to researchers worldwide, it particularly encourages applications from individuals with limited funding opportunities or from under-represented backgrounds. It aims to foster scientific work and international legal research cooperation."
21,Florence Academy of Art Scholarships (Italy),2.8,24,https://www.florenceacademyofart.com/,Arts & Humanities,"The Florence Academy of Art, known for its intensive, skill-based programs in classical drawing, painting, and sculpture, does not offer direct, full-ride internal scholarships. However, enrolled students can access limited financial aid, work-study opportunities, and partial scholarships (typically ranging from $500 to $2,500 per semester) to help offset tuition costs. These awards are based on financial need and artistic merit. Students are also encouraged to apply for external funding, such as the Art Renewal Center (ARC) annual competition, to support their studies in Florence and advance their artistic careers."
22,Holland (NL) Scholarship,3.0,24,studyinnl.org,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The NL Scholarship (formerly the Holland Scholarship) is the national scholarship program for international students from outside the European Economic Area (EEA) wishing to pursue a Bachelor's or Master's degree in the Netherlands. Financed by the Dutch Ministry of Education, Culture and Science alongside participating Dutch higher education institutions, it aims to stimulate talented international students to study in the Netherlands. The scholarship provides a one-time grant of €5,000, awarded in the first year of study. It is not a full-tuition scholarship and does not cover the full costs of living and studying."
23,Rhodes Scholarship (Oxford),3.7,24,https://www.rhodeshouse.ox.ac.uk,"Other, STEM, Business & Economics, Arts & Humanities, Health & Medicine","The Rhodes Scholarship is the oldest and perhaps most prestigious international scholarship program, enabling outstanding young people from around the world to study at the University of Oxford. Fully funding two years of postgraduate study (with the possibility of extension), it covers university and college fees, a generous living stipend, health insurance, and round-trip airfare. Scholars are chosen not only for their exceptional academic achievements but also for their character, leadership potential, commitment to others, and energy to use their talents to the full. The program aims to develop public-spirited leaders and promote international understanding within a global, lifelong community."
24,Global Korea Scholarship / GKS,3,40,https://www.studyinkorea.go.kr,"Other, STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education","The Global Korea Scholarship (GKS) is a prestigious, fully funded program offered by the South Korean government to support outstanding international students pursuing undergraduate or graduate degrees in South Korea. Administered by the National Institute for International Education (NIIED), the scholarship covers full tuition, round-trip airfare, a monthly living allowance, medical insurance, and a settlement allowance. Additionally, it includes one year of mandatory Korean language training to help students integrate and succeed academically. GKS aims to foster international educational exchange, strengthen global friendships, and build a network of future leaders through immersive academic and cultural experiences in Korea."
25,Croatian Government Scholarship,3.0,24,mobilnost.hr,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education","The Croatian Government Scholarship is a fully funded program administered by the Ministry of Science and Education to support international students seeking undergraduate, master's, or PhD degrees, as well as research opportunities, at top Croatian universities. It covers full or partial tuition fees, provides a monthly stipend (ranging from €300 to €480 depending on the study level), subsidized meals, affordable student accommodation, and health insurance support. Designed to promote international academic mobility and cultural exchange, the scholarship offers students a high-quality European academic environment with a lower cost of living, making it an attractive opportunity for global scholars."
26,MEXT Scholarship (Japan),2.0,25,https://www.studyinjapan.go.jp,STEM,"The MEXT (Monbukagakusho) Scholarship is a highly prestigious, fully funded program offered by Japan's Ministry of Education, Culture, Sports, Science and Technology. Available to international students from countries with diplomatic ties to Japan, it supports undergraduate, master's, and doctoral studies across various disciplines. The comprehensive scholarship covers full tuition and entrance examination fees, round-trip airfare, and a generous monthly stipend for living expenses. It also includes a preparatory course in the Japanese language and culture. Established in 1954, MEXT aims to foster international academic exchange, cross-cultural understanding, and global cooperation by welcoming top talent to Japan's leading universities."
27,New Zealand ASEAN Scholar Awards,3,40,https://www.mfat.govt.nz/en/aid-and-development/new-zealand-scholarships,"Other, STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education","The New Zealand ASEAN Scholar Awards (NZAS) are fully funded scholarships offered by the New Zealand Government to empower international students from Southeast Asian nations. Aimed at postgraduate study (Master's and PhD), the program recognizes New Zealand's close ties with the ASEAN region and seeks to build human capital and leadership skills. The scholarship provides comprehensive financial support, including full tuition fees, a living allowance, establishment allowance, medical insurance, and round-trip airfare. Graduates are expected to return to their home countries equipped with world-class education and skills to contribute significantly to their region's economic, social, and political development."
28,Qatar University International Scholarship ,4.0,22,qu.edu.qa,"Education, Law, Arts & Humanities, Health & Medicine, Business & Economics, Other","The Qatar University International Scholarship is a highly competitive, fully funded award designed to attract outstanding international students to pursue undergraduate bachelor's degrees at Qatar University. Recognizing academic excellence, the scholarship covers full tuition and textbook fees, provides free student housing with transportation to and from campus, an annual round-trip airfare ticket to the student's home country, and a residence permit under the university's sponsorship. Some recipients may also receive a monthly stipend. By removing financial barriers, this prestigious scholarship allows talented global students to experience world-class education and cultural immersion in one of the Middle East's premier institutions."
29,Romanian MFA Scholarship,2.8,35,scholarships.studyinromania.gov.ro,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The Romanian Government Scholarship, administered by the Ministry of Foreign Affairs (MFA), offers fully funded opportunities for non-EU citizens to pursue bachelor's, master's, and doctoral degrees at Romanian public universities. The program covers full tuition fees, provides dormitory accommodation (subject to availability), and includes a monthly stipend (ranging from €65 to €85 depending on the degree level). It also offers a free one-year Romanian language preparatory course for undergraduate and master's students, as these programs are taught exclusively in Romanian. While it covers major educational costs, students are responsible for their travel expenses and supplementing their daily living costs."
30,New Bulgarian University Int'l Scholarship,3.0,24,nbu.bg,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","New Bulgarian University (NBU) offers a variety of scholarships and financial aid options to support international students pursuing undergraduate and postgraduate degrees in Bulgaria. While not a single, centralized government scholarship, NBU provides merit-based awards, tuition fee reductions, and opportunities for student work and internships to help offset the cost of education. Additionally, international students at NBU can benefit from external funding sources, such as the Erasmus+ program for study mobility and various international grants. These financial support mechanisms aim to attract diverse global talent and make NBU's innovative, high-quality European education more accessible to students worldwide."
31,American University of Sharjah Merit Scholarship,3.0,24,aus.edu/admissions/financial-aid,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The American University of Sharjah (AUS) Merit Scholarship is a prestigious financial award designed to recognize and reward academically outstanding new first-time undergraduate applicants. Automatically evaluated at the time of admission without requiring a separate application, this scholarship covers 10 to 30 percent of tuition and lab fees. Eligibility is based strictly on academic excellence, typically requiring a minimum high school average equivalent to 90 or 95 percent in the final years of secondary education. Subject to the availability of funds, the AUS Merit Scholarship helps ease the financial burden for top-tier students seeking a world-class education in the UAE."
32,World in Serbia Scholarship,3,24,welcometoserbia.gov.rs/scholarships,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The ""World in Serbia"" Scholarship is a fully funded national initiative by the Government of Serbia, designed for students from 127 member and observer states of the Non-Aligned Movement. It supports undergraduate, master's, and doctoral studies at Serbian public universities. The comprehensive package includes free tuition, a monthly stipend of 18,000 RSD, student accommodation, subsidized meals, health insurance, and a free resident visa. Since degree programs are taught in Serbian, the scholarship also provides a mandatory, free intensive Serbian language preparatory course upon arrival. It aims to foster international cooperation and strengthen diplomatic ties through educational exchange."
33,King Saud University Int'l Scholarship,3.5,25,ksu.edu.sa,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Education, Law, Other","The King Saud University (KSU) International Scholarship is a prestigious, fully funded program offered by the Saudi Arabian government through the ""Study in Saudi"" platform. It invites outstanding international students to pursue diploma, bachelor's, master's, and PhD degrees across diverse scientific and humanities disciplines. The comprehensive scholarship covers full tuition fees, free furnished campus accommodation, a monthly living stipend, comprehensive healthcare, and annual round-trip airfare. Additional benefits include a two-month arrival stipend and a graduation allowance. This initiative aims to attract global talent, foster cultural exchange, and provide a world-class educational experience at Saudi Arabia's premier university."
34,AMCI Moroccan Government Scholarship,2.4,30,amci.ma,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The AMCI Moroccan Government Scholarship is a fully funded bilateral program administered by the Moroccan Agency for International Cooperation. It enables international students from partner countries to pursue undergraduate, master's, and doctoral degrees at Morocco's public universities and vocational institutes. The scholarship provides a monthly stipend of 1,750 MAD (approx. $190 USD), a one-way flight upon arrival and a return ticket upon completion, and comprehensive health insurance. Since most programs are taught in French, it often includes a one-year language preparatory course. The program fosters international academic exchange and cultural ties between Morocco and nations worldwide."
35,University of Jordan Int'l Scholarship,2.7,24,ju.edu.jo,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The University of Jordan offers various scholarship opportunities and financial aid options to attract and support international students pursuing undergraduate and postgraduate degrees. While specific offerings vary, they often include partial tuition fee waivers, merit-based awards, and externally funded grants facilitated through the university's International Relations Department. The university frequently partners with global initiatives, such as the Erasmus+ program, Chevening, and bilateral government agreements, to provide funding for international mobility and cultural exchange. These scholarships aim to foster a diverse academic environment and make higher education at Jordan's premier institution more accessible to talented students from around the world."
36,Royal Thai Government Scholarship,3.0,25,studyinthailand.org,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The Royal Thai Government Scholarships are prestigious, fully funded awards designed to attract brilliant international students from Asian countries to pursue master's and doctoral degrees at the Asian Institute of Technology (AIT) in Thailand. Key awards include 'His Majesty the King's Scholarships' and 'Her Majesty the Queen's Scholarships.' The comprehensive package covers full tuition and registration fees, on-campus accommodation, and a monthly bursary for living expenses throughout the entire degree program. Aimed at fostering future leaders and building human capital across the region, the scholarship requires applicants to possess an outstanding academic record and strong English proficiency."
37,Universitas Gadjah Mada Int'l Undergrad scholarship ,3.0,22,ugm.ac.id,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","Universitas Gadjah Mada (UGM) in Indonesia offers limited but highly competitive scholarships for international students pursuing International Undergraduate Programs (IUP), particularly within the Faculty of Engineering. These awards provide substantial financial support for up to four years of study. Benefits typically include a full tuition fee waiver, a monthly living stipend of IDR 2,500,000, a one-time round-trip airfare grant, visa fee coverage, and health insurance. By offering these comprehensive scholarships, UGM aims to attract outstanding global talent, foster a diverse and multicultural campus environment, and promote international academic collaboration at one of Indonesia's oldest and most prestigious universities."
38,Eastern Mediterranean University Merit Scholarship,3.0,24,emu.edu.tr,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The Eastern Mediterranean University (EMU) offers merit scholarships for international students pursuing undergraduate and postgraduate degrees. High-achieving undergraduate applicants can receive 50% or 25% tuition fee waivers based on their academic performance, with decisions made during the admission process. Additionally, a highly competitive 100% scholarship is available for undergraduate applicants who rank in the top 1% of secondary school graduates in their home country, covering tuition, accommodation, and meals. EMU also grants High Honor Awards to top-ranking students with a minimum GPA of 3.50. Postgraduate students can also benefit from full or partial tuition coverage and research assistantships."
39,Lithuanian State Scholarship,3,24,smpf.lt,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The Lithuanian State Scholarship is a government-funded program designed to support international students, lecturers, and researchers in pursuing their studies at Lithuanian higher education institutions. Administered by the Education Exchanges Support Foundation, the scholarship offers opportunities for full-time master's degree studies, short-term studies (1-2 semesters), and Lithuanian language and culture courses. The flagship master's scholarship covers the standard tuition fee and provides a monthly stipend of approximately €592 to help with living costs. It targets citizens from specific eligible countries. The short-term and language study tracks are open to a wider range of nationalities, fostering international academic exchange and cultural understanding."
40,Poznan University of Technology Int'l Scholarship,4.0,24,put.poznan.pl,STEM,"Poznan University of Technology (PUT) in Poland offers scholarship opportunities for international students, primarily through the Polish National Agency for Academic Exchange (NAWA). The Banach NAWA Scholarship Programme supports students from developing countries pursuing second-cycle (master's) studies in fields like engineering and IT. This fully funded scholarship covers tuition fees at public universities and provides a monthly living stipend of PLN 2,500, along with a travel allowance. It aims to foster socio-economic development by raising educational qualifications. PUT also provides support services like the Buddy Program and Welcome Center to help international students integrate into the academic community."
41,University of Porto Merit,3.0,24,up.pt/portal/en/live/student-life/scholarships-and-funding,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The University of Porto in Portugal awards Merit Scholarships to recognize and reward exceptional academic achievement among its students, regardless of their socio-economic background. These scholarships are granted as cash prizes to students enrolled in bachelor's, master's, and integrated master's programs who demonstrate outstanding academic results. Additionally, the university offers Incentive Prizes, equivalent to the annual tuition fees, to the best first-year students in each of its faculties. International students are eligible for these merit-based awards and are automatically considered upon admission. The university also provides other financial aid options, such as SASUP scholarships and scientific research grants."
42,Bilkent University Full Scholarshi,3,24,bilkent.edu.tr,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","Bilkent University in Turkey offers prestigious, fully funded scholarships to attract outstanding international students for undergraduate, master's, and doctoral programs. Prospective students are evaluated based on high school grades, national/international exam scores, and academic criteria. The scholarship provides tuition waivers ranging from 20% to 100%. For top-tier students receiving a full tuition waiver, accommodation scholarships may also be provided. Graduate students (Master's and PhD) can benefit from comprehensive packages that include full tuition exemption, a monthly stipend, housing support, private health insurance, and a laptop. The scholarship aims to foster a strong research environment and global academic excellence."
43,American University in Cairo Scholarship,3.7,24,aucegypt.edu,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The American University in Cairo (AUC) offers various scholarships to support outstanding international and domestic students pursuing undergraduate and graduate degrees. These scholarships are awarded based on academic merit, financial need, and leadership potential. AUC provides specific opportunities like the Hermann F. Eilts Scholarship for Middle East studies and the Abdulhadi H. Taher Endowed Scholarship. Additionally, the School of Continuing Education frequently launches fully funded scholarships for ambitious learners and entrepreneurs to develop professional skills. AUC's financial aid programs aim to attract diverse talent, promote cultural exchange, and empower students to make a positive impact in their communities."
44,African Leadership University Scholarship,3,24,alueducation.com,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The African Leadership University (ALU) offers prestigious scholarships to exceptional young leaders from across Africa to pursue undergraduate studies at its campus in Rwanda. The ALU Mastercard Foundation Scholarship is a fully funded program that covers full tuition fees, accommodation, living stipends, travel costs, a laptop, and medical insurance. It targets talented students who demonstrate significant financial need, strong academic merit, and a commitment to Africa's development. ALU's need-blind admission process ensures that financial barriers do not hinder outstanding students. The program aims to cultivate the next generation of entrepreneurial leaders who will drive positive change on the continent."
45,Ashesi University Scholarship,3.0,24,ashesi.edu.gh,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","Ashesi University in Ghana provides generous scholarships to talented undergraduate students from across Africa, with about half of its students receiving financial aid. The Ashesi University Scholarship, which includes the prestigious Mastercard Foundation Scholars Program, offers partial to full funding based on academic excellence, leadership potential, and demonstrated financial need. A full scholarship covers tuition fees, on-campus housing, meals, books, and sometimes a laptop and personal stipend. The program is designed to support students from underrepresented and economically disadvantaged backgrounds, empowering them to become ethical, entrepreneurial leaders who will transform their communities and the African continent."
46,Duke Kunshan University Merit Scholarship,3.5,24,dukekunshan.edu.cn,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","Duke Kunshan University (DKU) in China offers merit scholarships to exceptional international and domestic students pursuing undergraduate and master's degrees. Every admitted student is automatically considered for a merit scholarship based on their overall profile; no separate application is required. Selection criteria include prior academic achievement, demonstrated leadership qualities, community involvement, and extracurricular activities. The scholarship awards vary and are applied directly toward tuition costs, with some covering up to 50% or more of the annual tuition for the duration of the program. DKU's financial aid aims to attract a diverse, global cohort of innovative thinkers and future leaders."
47,Nazarbayev University Undergraduate Scholarship,3,24,nu.edu.kz,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","Nazarbayev University in Kazakhstan offers fully funded undergraduate scholarships to attract talented international and domestic students. The scholarship covers the full cost of tuition for the entire duration of the bachelor's degree program. In addition to tuition waivers, recipients often receive a monthly living stipend, free accommodation in university dormitories, and medical insurance. The selection process is highly competitive and based on academic excellence, standardized test scores, and leadership potential. The program aims to foster a world-class academic environment in Central Asia, preparing students to become global leaders and innovators across various fields of study."
48,IE University Excellence Scholarship,3.5,24,ie.edu,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","IE University in Spain offers the Excellence Scholarship to outstanding international students pursuing undergraduate and postgraduate degrees, including its renowned Computer Science and Business programs. This merit-based scholarship is designed to attract top-tier talent who demonstrate exceptional academic achievements, leadership skills, and a strong entrepreneurial spirit. The award provides partial to significant tuition fee waivers, helping to ease the financial burden of studying at one of Europe's leading institutions. IE University's financial aid programs aim to foster a diverse and dynamic international community, encouraging students to engage in innovative research, academic excellence, and global networking."
49,Kazakhstan Government Scholarship,3.0,24,oq.gov.kz/en/b-ship,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The Kazakhstan Government Scholarship is a fully funded program administered by the Ministry of Science and Higher Education to attract talented international students to study in Kazakhstan. It offers 550 awards annually for full-time bachelor's, master's, and PhD programs at participating Kazakhstani universities. The comprehensive scholarship covers full tuition fees, free dormitory accommodation, a monthly living stipend, and medical insurance. Open to foreign citizens of all nationalities, the program requires a strong academic record and involves an online application and interview process. It provides an excellent opportunity to experience Central Asia's growing higher education sector and rich cultural heritage."
50,Global Undergraduate Exchange Program,2.0,25,globalugrad.org,"STEM, Business & Economics, Health & Medicine, Arts & Humanities, Law, Education, Other","The Global Undergraduate Exchange Program (Global UGRAD), sponsored by the U.S. Department of State, provides a fully funded scholarship for emerging student leaders to study for one semester at a U.S. college or university. Aimed at students from underrepresented backgrounds worldwide, the program covers tuition, travel, accommodation, and living expenses for non-degree, full-time undergraduate coursework. Participants also engage in community service, cultural enrichment, and professional development activities, including a U.S. studies course. Global UGRAD seeks to foster cross-cultural understanding, enhance leadership skills, and empower students to enact positive change in their home communities upon their return."
